Date,Open,High,Low,Close,Volume%,Volume,Weighted_bitcoin_price,Address,generatedCoin,Mining_Difficulty,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,9d MA,15d MA,Lable
23/10/2016,657.62,661.13,653.89,657.07,0.15,82859.92425,657.43,525340,1800,2.54E+11,3.91,1004488.491,1266.75,50.52,1.0882,8054,14832,649.06,656.14,637.08,657.07
24/10/2016,657.16,657.25,652.59,653.76,0.45,94962.07207,655.19,581792,1788,2.54E+11,3.9,769076.9231,1262.24,50.52,1.0882,8868,18801,656.04,663.22,639.55,653.76
25/10/2016,654,664.42,653.7,657.59,-0.03,137472.8868,657.43,617973,1738,2.54E+11,3.89,811046.2725,1270.15,49.96,1.0889,9923,15756,656.14,674.73,642.12,657.59
26/10/2016,657.68,679.73,657.68,678.3,0.06,132979.8818,668.35,613898,1725,2.54E+11,3.94,1375137.056,1270.28,49.18,1.0908,8501,17995,663.22,685.42,644.60,678.3
27/10/2016,678.21,688.59,678.04,688.31,-0.16,140650.8159,683.29,721678,2025,2.54E+11,4,1554017.5,1267.6,49.72,1.0897,8667,19247,674.73,697.48,648.08,688.31
28/10/2016,688,690.44,684.16,689.65,0.62,117933.7616,688.06,570194,1900,2.54E+11,4,1065057.5,1274.81,48.7,1.0985,14518,19798,685.42,702.00,651.60,689.65
29/10/2016,690.29,720.4,690.05,714.48,-0.26,191476.2603,703.8,541665,1863,2.54E+11,4.04,1418955.446,1274.81,48.7,1.0985,10900,18463,697.48,705.77,656.54,714.48
30/10/2016,714.12,714.12,696.47,701.86,-0.03,142455.8474,706.64,472384,2100,2.54E+11,4.06,1074980.296,1277.89,46.86,1.0981,8571,19812,702.00,710.87,660.75,701.86
31/10/2016,702.64,709.29,691.68,700.97,0.31,138437.9724,701.14,579849,1838,2.54E+11,4.02,968495.0249,1275.72,46.86,1.0981,12082,23052,705.77,723.86,664.71,700.97
1/11/2016,701.34,736.45,701.34,729.79,-0.36,181987.6469,717.23,602670,1800,2.54E+11,4.06,1161302.956,1283.43,31.41,1.1055,10272,21499,710.87,719.77,670.75,729.79
2/11/2016,730.07,740.83,722.35,740.83,1.09,115695.8229,733.52,585172,1663,2.54E+11,4.09,891466.9927,1295.38,26.21,1.1098,10374,20959,723.86,710.92,677.61,740.83
3/11/2016,742.35,745.77,678.16,688.7,-0.41,242116.1768,713.74,593610,1938,2.54E+11,3.99,1474558.897,1298.48,38.5,1.1105,9857,20253,719.77,698.45,681.49,688.7
4/11/2016,689.12,706.93,685.56,703.23,-0.47,143502.2421,696.21,547623,1450,2.54E+11,3.86,901924.8705,1302.42,40.36,1.1141,9168,18517,710.92,706.06,686.31,703.23
