Date,Open,High,Low,Close,Volume,Weighted_bitcoin_price,bitcoin_sent,Address,generatedCoin,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,bitcoin_sent_inNum,Lable
11/11/2017,6618.61,6873.15,6204.22,6357.6,753627.935,6513.4,10897348851,578308,1000,194554,1.36E+12,17.73,956050,61.15,4456157.253,1280.56,51.3,1.1665,44339,68892,1673066.118,6357.6
12/11/2017,6295.45,6625.05,5519.01,5950.07,1469044.164,6097.4,12760792282,598625,1000,185886,1.36E+12,18.76,961507,60.26,5357119.15,1275.73,57.99,1.1667,45229,71176,2092825.185,5950.07
13/11/2017,5938.25,6811.19,5844.29,6559.49,996016.3987,6288.3,27740799160,917287,1750,309159,1.36E+12,10.35,961311,60.55,3922014.864,1276.91,56.76,1.1667,54732,73373,4411494.229,6559.49
14/11/2017,6561.48,6764.98,6461.75,6635.75,483971.3678,6605.99,25475588627,817534,1600,271867,1.36E+12,11.1,948024,62.25,2796963.984,1279.18,55.7,1.1798,50079,71630,3856437.661,6635.75
15/11/2017,6634.76,7342.25,6634.76,7315.54,601687.5415,6981.83,24200736650,951196,1900,321636,1.36E+12,9.61,961402,63.71,3055030.607,1281.3,55.368,1.1791,46140,79934,3466245.476,7315.54
16/11/2017,7323.24,7967.38,7176.58,7871.69,675543.6973,7584.72,28475538863,903497,1900,310244,1.36E+12,9.36,945372,67.57,6188086.31,1277.83,55.224,1.177,49047,87538,3754329.608,7871.69
17/11/2017,7853.57,8004.59,7561.09,7708.99,597742.7591,7782.06,29920213007,980129,2088,306450,1.36E+12,8.68,959576,68.73,5099737.989,1287.07,56.646,1.179,62242,83410,3844767.71,7708.99
18/11/2017,7697.21,7884.99,7463.44,7790.15,475705.5132,7708.95,20915777554,849503,1700,270738,1.36E+12,10.49,972122,68.13,2554865.815,1287.07,56.646,1.179,48910,68192,2713181.115,7790.15
19/11/2017,7766.03,8101.91,7694.1,8036.49,398666.7649,7899.63,42606543161,908966,2000,264695,1.36E+12,9.06,966068,70.67,3439323.504,1284.14,56.354,1.1733,44907,72762,5393485.918,8036.49
20/11/2017,8039.07,8336.86,7949.36,8200.64,429005.5498,8131.48,34249405037,989857,2188,336029,1.36E+12,8.26,945945,71.84,2630512.249,1284.14,56.354,1.1733,58371,102144,4211952.195,8200.64
