Date,Block_size
2015-09-10 00:00:00 UTC,698637
2015-09-11 00:00:00 UTC,698082
2015-09-12 00:00:00 UTC,662131
2015-09-13 00:00:00 UTC,623393
2015-09-14 00:00:00 UTC,742593
2015-09-15 00:00:00 UTC,697781
2015-09-16 00:00:00 UTC,675849
2015-09-17 00:00:00 UTC,705268
2015-09-18 00:00:00 UTC,556746
2015-09-19 00:00:00 UTC,469263
2015-09-20 00:00:00 UTC,479239
2015-09-21 00:00:00 UTC,602382
2015-09-22 00:00:00 UTC,486307
2015-09-23 00:00:00 UTC,459781
2015-09-24 00:00:00 UTC,487709
2015-09-25 00:00:00 UTC,428839
2015-09-26 00:00:00 UTC,437718
2015-09-27 00:00:00 UTC,442062
2015-09-28 00:00:00 UTC,514718
2015-09-29 00:00:00 UTC,464740
2015-09-30 00:00:00 UTC,514060
2015-10-01 00:00:00 UTC,457236
2015-10-02 00:00:00 UTC,528039
2015-10-03 00:00:00 UTC,392751
2015-10-04 00:00:00 UTC,372705
2015-10-05 00:00:00 UTC,423255
2015-10-06 00:00:00 UTC,542647
2015-10-07 00:00:00 UTC,686500
2015-10-08 00:00:00 UTC,658225
2015-10-09 00:00:00 UTC,595056
2015-10-10 00:00:00 UTC,632632
2015-10-11 00:00:00 UTC,541174
2015-10-12 00:00:00 UTC,575100
2015-10-13 00:00:00 UTC,555197
2015-10-14 00:00:00 UTC,526126
2015-10-15 00:00:00 UTC,538090
2015-10-16 00:00:00 UTC,577965
2015-10-17 00:00:00 UTC,599780
2015-10-18 00:00:00 UTC,532675
2015-10-19 00:00:00 UTC,510530
2015-10-20 00:00:00 UTC,689353
2015-10-21 00:00:00 UTC,565292
2015-10-22 00:00:00 UTC,546734
2015-10-23 00:00:00 UTC,555678
2015-10-24 00:00:00 UTC,525397
2015-10-25 00:00:00 UTC,527246
2015-10-26 00:00:00 UTC,477430
2015-10-27 00:00:00 UTC,546608
2015-10-28 00:00:00 UTC,592793
2015-10-29 00:00:00 UTC,591662
2015-10-30 00:00:00 UTC,517576
2015-10-31 00:00:00 UTC,540261
2015-11-01 00:00:00 UTC,541944
2015-11-02 00:00:00 UTC,625830
2015-11-03 00:00:00 UTC,683602
2015-11-04 00:00:00 UTC,784127
2015-11-05 00:00:00 UTC,729977
2015-11-06 00:00:00 UTC,658057
2015-11-07 00:00:00 UTC,536131
2015-11-08 00:00:00 UTC,548015
2015-11-09 00:00:00 UTC,623500
2015-11-10 00:00:00 UTC,606812
2015-11-11 00:00:00 UTC,524536
2015-11-12 00:00:00 UTC,524627
2015-11-13 00:00:00 UTC,493297
2015-11-14 00:00:00 UTC,541817
2015-11-15 00:00:00 UTC,498394
2015-11-16 00:00:00 UTC,521452
2015-11-17 00:00:00 UTC,557605
2015-11-18 00:00:00 UTC,598408
2015-11-19 00:00:00 UTC,609871
2015-11-20 00:00:00 UTC,505331
2015-11-21 00:00:00 UTC,468868
2015-11-22 00:00:00 UTC,437165
2015-11-23 00:00:00 UTC,515722
2015-11-24 00:00:00 UTC,523032
2015-11-25 00:00:00 UTC,558613
2015-11-26 00:00:00 UTC,536884
2015-11-27 00:00:00 UTC,649564
2015-11-28 00:00:00 UTC,551229
2015-11-29 00:00:00 UTC,453507
2015-11-30 00:00:00 UTC,672512
2015-12-01 00:00:00 UTC,567074
2015-12-02 00:00:00 UTC,655985
2015-12-03 00:00:00 UTC,643186
2015-12-04 00:00:00 UTC,588732
2015-12-05 00:00:00 UTC,574139
2015-12-06 00:00:00 UTC,594406
2015-12-07 00:00:00 UTC,688185
2015-12-08 00:00:00 UTC,617038
2015-12-09 00:00:00 UTC,687724
2015-12-10 00:00:00 UTC,532228
2015-12-11 00:00:00 UTC,637256
2015-12-12 00:00:00 UTC,689175
2015-12-13 00:00:00 UTC,688831
2015-12-14 00:00:00 UTC,629964
2015-12-15 00:00:00 UTC,621392
2015-12-16 00:00:00 UTC,676313
2015-12-17 00:00:00 UTC,676608
2015-12-18 00:00:00 UTC,611859
2015-12-19 00:00:00 UTC,653255
2015-12-20 00:00:00 UTC,600066
2015-12-21 00:00:00 UTC,766528
2015-12-22 00:00:00 UTC,749793
2015-12-23 00:00:00 UTC,686931
2015-12-24 00:00:00 UTC,729632
2015-12-25 00:00:00 UTC,528244
2015-12-26 00:00:00 UTC,542835
2015-12-27 00:00:00 UTC,447306
2015-12-28 00:00:00 UTC,656116
2015-12-29 00:00:00 UTC,621074
2015-12-30 00:00:00 UTC,554078
2015-12-31 00:00:00 UTC,554895
2016-01-01 00:00:00 UTC,493407
2016-01-02 00:00:00 UTC,579744
2016-01-03 00:00:00 UTC,554656
2016-01-04 00:00:00 UTC,556970
2016-01-05 00:00:00 UTC,641779
2016-01-06 00:00:00 UTC,662380
2016-01-07 00:00:00 UTC,704716
2016-01-08 00:00:00 UTC,583649
2016-01-09 00:00:00 UTC,638665
2016-01-10 00:00:00 UTC,522422
2016-01-11 00:00:00 UTC,656381
2016-01-12 00:00:00 UTC,606917
2016-01-13 00:00:00 UTC,676356
2016-01-14 00:00:00 UTC,718566
2016-01-15 00:00:00 UTC,785504
2016-01-16 00:00:00 UTC,745876
2016-01-17 00:00:00 UTC,754066
2016-01-18 00:00:00 UTC,665509
2016-01-19 00:00:00 UTC,773838
2016-01-20 00:00:00 UTC,862095
2016-01-21 00:00:00 UTC,840199
2016-01-22 00:00:00 UTC,661856
2016-01-23 00:00:00 UTC,571502
2016-01-24 00:00:00 UTC,619085
2016-01-25 00:00:00 UTC,719356
2016-01-26 00:00:00 UTC,742776
2016-01-27 00:00:00 UTC,744017
2016-01-28 00:00:00 UTC,797069
2016-01-29 00:00:00 UTC,686997
2016-01-30 00:00:00 UTC,567548
2016-01-31 00:00:00 UTC,554537
2016-02-01 00:00:00 UTC,776970
2016-02-02 00:00:00 UTC,803891
2016-02-03 00:00:00 UTC,645764
2016-02-04 00:00:00 UTC,657827
2016-02-05 00:00:00 UTC,646794
2016-02-06 00:00:00 UTC,603150
2016-02-07 00:00:00 UTC,700185
2016-02-08 00:00:00 UTC,819056
2016-02-09 00:00:00 UTC,696157
2016-02-10 00:00:00 UTC,738433
2016-02-11 00:00:00 UTC,639298
2016-02-12 00:00:00 UTC,615091
2016-02-13 00:00:00 UTC,630543
2016-02-14 00:00:00 UTC,624712
2016-02-15 00:00:00 UTC,762568
2016-02-16 00:00:00 UTC,760435
2016-02-17 00:00:00 UTC,773961
2016-02-18 00:00:00 UTC,650895
2016-02-19 00:00:00 UTC,767116
2016-02-20 00:00:00 UTC,737770
2016-02-21 00:00:00 UTC,845762
2016-02-22 00:00:00 UTC,898240
2016-02-23 00:00:00 UTC,883190
2016-02-24 00:00:00 UTC,918164
2016-02-25 00:00:00 UTC,799025
2016-02-26 00:00:00 UTC,765235
2016-02-27 00:00:00 UTC,673899
2016-02-28 00:00:00 UTC,776567
2016-02-29 00:00:00 UTC,913299
2016-03-01 00:00:00 UTC,905036
2016-03-02 00:00:00 UTC,900280
2016-03-03 00:00:00 UTC,920833
2016-03-04 00:00:00 UTC,786572
2016-03-05 00:00:00 UTC,780037
2016-03-06 00:00:00 UTC,628856
