Date,Open,High,Low,Close,Volume,Market Cap, 3d MA,9d MA,15d MA
2016/11/10,722.84,723.02,711.21,715.53,68807800,11426817526,716.2166667,712.33,708.3026667
2016/11/11,715.55,718.32,714.41,716.41,63119700,11442241390,718.4033333,707.83,710.176
2016/11/12,716.75,717.15,704.03,705.05,64622500,11262273136,712.33,704.0333333,711.2026667
2016/11/13,705.2,705.26,687.32,702.03,80318096,11215181107,707.83,706.2233333,710.3726667
2016/11/14,702,706.28,699.81,705.02,62993000,11271073434,704.0333333,720.28,710.5833333
2016/11/15,705.79,715.72,705.26,711.62,72038496,11377924616,706.2233333,732.2666667,711.2933333
2016/11/16,711.17,747.61,709.04,744.2,141294000,11900441939,720.28,745.59,712.254
2016/11/17,744.88,755.65,739.51,740.98,108579000,11850398479,732.2666667,748.0633333,712.264
2016/11/18,740.71,752.88,736.89,751.59,87363104,12021432968,745.59,744.7466667,716.4566667
2016/11/19,751.83,756.24,744.47,751.62,110608000,12023262925,748.0633333,740.6333333,719.6826667
2016/11/20,751.88,755.48,717.94,731.03,154116000,11695081878,744.7466667,740.5433333,721.5233333
2016/11/21,731.27,741.72,730.51,739.25,60802400,11827902946,740.6333333,745.0633333,723.372
2016/11/22,739.64,753.87,736.53,751.35,129906000,12022735372,740.5433333,745.41,726.5866667
2016/11/23,751.74,752.25,738.92,744.59,76543800,11916054235,745.0633333,742.1766667,728.9026667
2016/11/24,744.62,746.83,733.49,740.29,85919296,11848658575,745.41,739.1066667,730.0373333
